C_ID,R_ID,R_Date,R_Time
120000238,239548,18-02-2017,09:15
120000239,354995,19-02-2017,09:30
120000240,545030,19-02-2017,09:45
120000241,859556,19-02-2017,10:00
120000242,732513,19-02-2017,10:15
120000243,619982,19-02-2017,10:30
120000244,996366,20-02-2017,10:45
120000245,404407,20-02-2017,11:00
120000246,283213,20-02-2017,11:15
120000247,979334,21-02-2017,11:30
120000248,393848,21-02-2017,11:45
120000249,665400,21-02-2017,12:00
120000250,705825,21-02-2017,12:15
120000251,883040,21-02-2017,12:30
120000252,602615,21-02-2017,12:45
120000253,970258,21-02-2017,13:00
120000254,598450,21-02-2017,13:15
120000255,226976,21-02-2017,13:30
120000256,246458,22-02-2017,13:45
120000257,485201,22-02-2017,14:00
120000258,856062,22-02-2017,14:15
120000259,169604,22-02-2017,14:30
120000260,529321,22-02-2017,14:45
120000261,821293,22-02-2017,15:00
120000262,540270,22-02-2017,15:15
120000263,895702,22-02-2017,15:30
120000264,607592,23-02-2017,15:45
120000265,935123,23-02-2017,16:00
120000266,478063,23-02-2017,16:15
120000267,989798,23-02-2017,16:30
120000268,835338,23-02-2017,16:45
120000269,643193,23-02-2017,17:00
120000270,680019,23-02-2017,09:00
120000271,444038,23-02-2017,09:00
120000272,555471,24-02-2017,09:15
120000273,438344,24-02-2017,09:30
120000274,385475,24-02-2017,09:45
120000275,838876,24-02-2017,10:00
120000276,923139,24-02-2017,10:15
120000277,793809,25-02-2017,10:30
120000278,612648,25-02-2017,10:45
120000279,912001,25-02-2017,11:00
120000280,145419,26-02-2017,11:15
120000281,461672,26-02-2017,11:30
120000282,544536,26-02-2017,11:45
120000283,217553,27-02-2017,12:00
120000284,430820,27-02-2017,12:15
120000285,799535,27-02-2017,12:30
120000286,881515,28-02-2017,12:45
120000287,879225,28-02-2017,13:00
120000288,578122,28-02-2017,13:15
120000289,600967,01-03-2017,13:30
120000290,879711,01-03-2017,13:45
120000291,807551,01-03-2017,14:00
120000292,316780,01-03-2017,14:15
120000293,609845,01-03-2017,14:30
120000294,559764,02-03-2017,14:45
120000295,946931,02-03-2017,15:00
120000296,888353,02-03-2017,15:15
120000297,696390,02-03-2017,15:30
120000298,421594,02-03-2017,15:45
120000299,157817,03-03-2017,16:00
120000300,382916,03-03-2017,16:15
120000301,326617,03-03-2017,16:30
120000302,995962,03-03-2017,16:45
120000303,709637,03-03-2017,17:00
120000304,914622,03-03-2017,09:00
120000305,245943,03-03-2017,09:00
120000306,426288,04-03-2017,09:15
120000307,624934,04-03-2017,09:30
120000308,360379,04-03-2017,09:45
120000309,650850,04-03-2017,10:00
120000310,571630,04-03-2017,10:15
120000311,639193,04-03-2017,10:30
120000312,955585,05-03-2017,10:45
120000313,484965,05-03-2017,11:00
120000314,693509,05-03-2017,11:15
120000315,600630,05-03-2017,11:30
120000316,685144,05-03-2017,11:45
120000317,799303,05-03-2017,12:00
120000318,320918,06-03-2017,12:15
120000319,299882,06-03-2017,12:30
120000320,399491,06-03-2017,12:45
120000321,848798,06-03-2017,13:00
120000322,749390,06-03-2017,13:15
120000323,260908,07-03-2017,13:30
120000324,679738,07-03-2017,13:45
120000325,247346,07-03-2017,14:00
120000326,747205,08-03-2017,14:15
120000327,695151,08-03-2017,14:30
120000328,505474,08-03-2017,14:45
120000329,803643,09-03-2017,15:00
120000330,650791,09-03-2017,15:15
120000331,984432,09-03-2017,15:30
120000332,107252,10-03-2017,15:45
120000333,388246,10-03-2017,16:00
120000334,671513,10-03-2017,16:15
120000335,896407,10-03-2017,16:30
120000336,905003,11-03-2017,16:45
120000337,975976,11-03-2017,17:00
120000338,239548,11-03-2017,09:00
120000339,354995,11-03-2017,09:00
120000340,545030,11-03-2017,09:15
120000341,859556,11-03-2017,09:30
120000342,732513,11-03-2017,09:45
120000343,619982,11-03-2017,10:00
120000344,996366,12-03-2017,10:15
120000345,404407,12-03-2017,10:30
120000346,283213,12-03-2017,10:45
120000347,979334,13-03-2017,11:00
120000348,393848,13-03-2017,11:15
120000349,665400,13-03-2017,11:30
120000350,705825,13-03-2017,11:45
120000351,883040,13-03-2017,12:00
120000352,602615,14-03-2017,12:15
120000353,970258,14-03-2017,12:30
120000354,598450,14-03-2017,12:45
120000355,226976,15-03-2017,13:00
120000356,246458,15-03-2017,13:15
120000357,485201,15-03-2017,13:30
120000358,856062,15-03-2017,13:45
120000359,169604,15-03-2017,14:00
120000360,529321,15-03-2017,14:15
120000361,821293,15-03-2017,14:30
120000362,540270,15-03-2017,14:45
120000363,895702,16-03-2017,15:00
120000364,607592,16-03-2017,15:15
120000365,935123,16-03-2017,15:30
120000366,478063,16-03-2017,15:45
120000367,989798,17-03-2017,16:00
120000368,835338,17-03-2017,16:15
120000369,643193,17-03-2017,16:30
120000370,680019,17-03-2017,16:45
120000371,444038,18-03-2017,17:00
120000372,555471,18-03-2017,09:00
120000373,438344,18-03-2017,09:00
120000374,385475,18-03-2017,09:15
120000375,838876,18-03-2017,09:30
120000376,923139,19-03-2017,09:45
120000377,793809,19-03-2017,10:00
120000378,612648,19-03-2017,10:15
120000379,912001,19-03-2017,10:30
120000380,145419,19-03-2017,10:45
120000381,461672,19-03-2017,11:00
120000382,544536,19-03-2017,11:15
120000383,217553,19-03-2017,11:30
120000384,430820,20-03-2017,11:45
120000385,799535,20-03-2017,12:00
120000386,881515,20-03-2017,12:15
120000387,879225,21-03-2017,12:30
120000388,578122,21-03-2017,12:45
120000389,600967,21-03-2017,13:00
120000390,879711,21-03-2017,13:15
120000391,807551,21-03-2017,13:30
120000392,316780,22-03-2017,13:45
120000393,609845,22-03-2017,14:00
120000394,559764,22-03-2017,14:15
120000395,946931,23-03-2017,14:30
120000396,888353,23-03-2017,14:45
120000397,696390,23-03-2017,15:00
120000398,421594,23-03-2017,15:15
120000399,157817,23-03-2017,15:30
120000400,382916,23-03-2017,15:45
120000401,326617,23-03-2017,16:00
120000402,995962,23-03-2017,16:15
120000403,709637,23-03-2017,16:30
120000404,914622,24-03-2017,16:45
120000405,245943,24-03-2017,17:00
120000406,426288,24-03-2017,09:00
120000407,624934,24-03-2017,09:00
120000408,360379,24-03-2017,09:15
120000409,650850,24-03-2017,09:30
120000410,571630,24-03-2017,09:45
120000411,639193,24-03-2017,10:00
120000412,955585,24-03-2017,10:15
120000413,484965,24-03-2017,10:30
120000414,693509,24-03-2017,10:45
120000415,600630,24-03-2017,11:00
120000416,685144,24-03-2017,11:15
120000417,799303,24-03-2017,11:30
120000418,320918,24-03-2017,11:45
120000419,299882,24-03-2017,12:00
120000420,399491,25-03-2017,12:15
120000421,848798,25-03-2017,12:30
120000422,749390,25-03-2017,12:45
120000423,260908,25-03-2017,13:00
120000424,679738,25-03-2017,13:15
120000425,247346,26-03-2017,13:30
120000426,747205,27-03-2017,13:45
120000427,695151,27-03-2017,14:00
120000428,505474,27-03-2017,14:15
120000429,803643,27-03-2017,14:30
120000430,650791,27-03-2017,14:45
120000431,984432,28-03-2017,15:00
120000432,107252,28-03-2017,15:15
120000433,388246,28-03-2017,15:30
120000434,671513,28-03-2017,15:45
120000435,896407,28-03-2017,16:00
120000436,905003,28-03-2017,16:15
120000437,975976,28-03-2017,16:30
120000438,239548,28-03-2017,16:45
120000439,354995,28-03-2017,17:00
120000440,545030,29-03-2017,09:00
120000441,859556,29-03-2017,09:00
120000442,732513,29-03-2017,09:15
120000443,619982,29-03-2017,09:30
120000444,996366,29-03-2017,09:45
120000445,404407,30-03-2017,10:00
120000446,283213,30-03-2017,10:15
120000447,979334,30-03-2017,10:30
120000448,393848,31-03-2017,10:45
120000449,665400,31-03-2017,11:00
120000450,705825,31-03-2017,11:15
120000451,883040,31-03-2017,11:30
120000452,602615,01-04-2017,11:45
120000453,970258,01-04-2017,12:00
120000454,598450,02-04-2017,12:15
120000455,226976,02-04-2017,12:30
120000456,246458,03-04-2017,12:45
120000457,485201,03-04-2017,13:00
120000458,856062,03-04-2017,13:15
120000459,169604,03-04-2017,13:30
120000460,529321,03-04-2017,13:45
120000461,821293,04-04-2017,14:00
120000462,540270,04-04-2017,14:15
120000463,895702,04-04-2017,14:30
120000464,607592,04-04-2017,14:45
120000465,935123,04-04-2017,15:00
120000466,478063,04-04-2017,15:15
120000467,989798,04-04-2017,15:30
120000468,835338,05-04-2017,15:45
120000469,643193,05-04-2017,16:00
120000470,680019,05-04-2017,16:15
120000471,444038,05-04-2017,16:30
120000472,555471,05-04-2017,16:45
120000473,438344,06-04-2017,17:00
120000474,385475,06-04-2017,09:00
120000475,838876,06-04-2017,09:00
120000476,923139,07-04-2017,09:15
120000477,793809,07-04-2017,09:30
120000478,612648,07-04-2017,09:45
120000479,912001,07-04-2017,10:00
120000480,145419,07-04-2017,10:15
120000481,461672,07-04-2017,10:30
120000482,544536,08-04-2017,10:45
120000483,217553,08-04-2017,11:00
120000484,430820,08-04-2017,11:15
120000485,799535,08-04-2017,11:30
120000486,881515,09-04-2017,11:45
120000487,879225,09-04-2017,12:00
120000488,578122,10-04-2017,12:15
120000489,600967,10-04-2017,12:30
120000490,879711,10-04-2017,12:45
120000491,807551,10-04-2017,13:00
120000492,316780,10-04-2017,13:15
120000493,609845,10-04-2017,13:30
120000494,559764,11-04-2017,13:45
120000495,946931,11-04-2017,14:00
120000496,888353,11-04-2017,14:15
120000497,696390,11-04-2017,14:30
120000498,421594,11-04-2017,14:45
120000499,157817,11-04-2017,15:00
120000500,382916,11-04-2017,15:15
120000501,326617,12-04-2017,16:45
120000502,995962,12-04-2017,09:45
120000503,709637,12-04-2017,11:45
120000504,914622,12-04-2017,16:00
120000505,245943,12-04-2017,12:45
120000506,426288,12-04-2017,09:00
120000507,624934,13-04-2017,14:45
120000508,360379,13-04-2017,13:15
120000509,650850,13-04-2017,15:30
120000510,571630,13-04-2017,14:30
120000511,639193,13-04-2017,16:30
120000512,955585,13-04-2017,09:15
120000513,484965,14-04-2017,12:30
120000514,693509,14-04-2017,15:00
120000515,600630,14-04-2017,13:30
120000516,685144,14-04-2017,12:00
120000517,799303,14-04-2017,15:45
120000518,320918,14-04-2017,17:00
120000519,299882,14-04-2017,11:00
120000520,399491,15-04-2017,10:00
120000521,848798,15-04-2017,14:00
120000522,749390,15-04-2017,11:15
120000523,260908,15-04-2017,10:30
120000524,679738,15-04-2017,14:15
120000525,247346,15-04-2017,12:15
120000526,747205,15-04-2017,13:45
120000527,695151,16-04-2017,11:30
120000528,505474,16-04-2017,09:30
120000529,803643,16-04-2017,10:15
120000530,650791,16-04-2017,14:00
120000531,984432,16-04-2017,17:00
120000532,107252,16-04-2017,11:00
120000533,388246,16-04-2017,13:45
120000534,671513,17-04-2017,14:30
120000535,896407,17-04-2017,09:00
120000536,905003,17-04-2017,09:15
120000537,975976,17-04-2017,14:45
120000538,239548,17-04-2017,11:15
120000539,354995,17-04-2017,15:15
120000540,545030,18-04-2017,16:30
120000541,859556,18-04-2017,11:30
120000542,732513,19-04-2017,10:30
120000543,619982,19-04-2017,11:45
120000544,996366,19-04-2017,15:00
120000545,404407,19-04-2017,16:00
120000546,283213,20-04-2017,16:45
120000547,979334,20-04-2017,10:00
120000548,393848,20-04-2017,12:45
120000549,665400,20-04-2017,10:15
120000550,705825,21-04-2017,13:15
120000551,883040,21-04-2017,12:30
120000552,602615,21-04-2017,14:15
120000553,970258,21-04-2017,15:30
120000554,598450,22-04-2017,15:45
120000555,226976,22-04-2017,09:30
120000556,246458,22-04-2017,13:30
120000557,485201,23-04-2017,12:15
120000558,856062,23-04-2017,09:45
120000559,169604,23-04-2017,12:00
120000560,529321,24-04-2017,10:15
120000561,821293,24-04-2017,14:00
120000562,540270,25-04-2017,11:30
120000563,895702,25-04-2017,13:15
120000564,607592,25-04-2017,09:15
120000565,935123,25-04-2017,15:45
120000566,478063,25-04-2017,10:00
120000567,989798,25-04-2017,16:30
120000568,835338,26-04-2017,16:45
120000569,643193,26-04-2017,13:30
120000570,680019,26-04-2017,09:00
120000571,444038,26-04-2017,09:15
120000572,555471,26-04-2017,09:30
120000573,438344,27-04-2017,09:45
120000574,385475,27-04-2017,10:00
120000575,838876,27-04-2017,10:15
120000576,923139,27-04-2017,10:30
120000577,793809,27-04-2017,10:45
120000578,612648,28-04-2017,11:00
120000579,912001,28-04-2017,11:15
120000580,145419,28-04-2017,11:30
120000581,461672,28-04-2017,11:45
120000582,544536,28-04-2017,12:00
120000583,217553,28-04-2017,12:15
120000584,430820,28-04-2017,12:30
120000585,799535,29-04-2017,12:45
120000586,881515,29-04-2017,13:00
120000587,879225,29-04-2017,13:15
120000588,578122,29-04-2017,13:30
120000589,600967,29-04-2017,13:45
120000590,879711,30-04-2017,14:00
120000591,807551,30-04-2017,14:15
120000592,316780,01-05-2017,14:30
120000593,609845,01-05-2017,14:45
120000594,559764,01-05-2017,15:00
120000595,946931,01-05-2017,15:15
120000596,888353,02-05-2017,15:30
120000597,696390,02-05-2017,15:45
120000598,421594,02-05-2017,16:00
120000599,157817,02-05-2017,16:15
120000600,382916,02-05-2017,16:30
120000601,326617,02-05-2017,16:45
120000602,995962,03-05-2017,17:00
120000603,709637,03-05-2017,09:00
120000604,914622,03-05-2017,09:15
120000605,245943,03-05-2017,09:30
120000606,426288,03-05-2017,09:45
120000607,624934,03-05-2017,10:00
120000608,360379,03-05-2017,10:15
120000609,650850,04-05-2017,10:30
120000610,571630,04-05-2017,10:45
120000611,639193,04-05-2017,11:00
120000612,955585,04-05-2017,11:15
120000613,484965,04-05-2017,11:30
120000614,693509,05-05-2017,11:45
120000615,600630,05-05-2017,12:00
120000616,685144,05-05-2017,12:15
120000617,799303,06-05-2017,12:30
120000618,320918,06-05-2017,12:45
120000619,299882,06-05-2017,13:00
120000620,399491,06-05-2017,13:15
120000621,848798,07-05-2017,13:30
120000622,749390,07-05-2017,13:45
120000623,260908,07-05-2017,14:00
120000624,679738,07-05-2017,14:15
120000625,247346,07-05-2017,14:30
120000626,747205,07-05-2017,14:45
120000627,695151,07-05-2017,15:00
120000628,505474,08-05-2017,15:15
120000629,803643,08-05-2017,15:30
120000630,650791,08-05-2017,15:45
120000631,984432,08-05-2017,16:00
120000632,107252,08-05-2017,16:15
120000633,388246,09-05-2017,16:30
120000634,671513,10-05-2017,16:45
120000635,896407,10-05-2017,17:00
120000636,905003,10-05-2017,09:00
120000637,975976,10-05-2017,09:15
120000638,239548,11-05-2017,09:30
120000639,354995,11-05-2017,09:45
120000640,545030,12-05-2017,10:00
120000641,859556,12-05-2017,10:15
120000642,732513,12-05-2017,10:30
120000643,619982,12-05-2017,10:45
120000644,996366,12-05-2017,11:00
120000645,404407,12-05-2017,11:15
120000646,283213,13-05-2017,11:30
120000647,979334,13-05-2017,11:45
120000648,393848,13-05-2017,12:00
120000649,665400,13-05-2017,12:15
120000650,705825,13-05-2017,12:30
120000651,883040,13-05-2017,12:45
120000652,602615,13-05-2017,13:00
120000653,970258,13-05-2017,13:15
120000654,598450,13-05-2017,13:30
120000655,226976,13-05-2017,13:45
120000656,246458,14-05-2017,14:00
120000657,485201,14-05-2017,14:15
120000658,856062,15-05-2017,14:30
120000659,169604,16-05-2017,14:45
120000660,529321,16-05-2017,15:00
120000661,821293,16-05-2017,15:15
120000662,540270,16-05-2017,15:30
120000663,895702,17-05-2017,15:45
120000664,607592,17-05-2017,16:00
120000665,935123,17-05-2017,16:15
120000666,478063,17-05-2017,16:30
120000667,989798,17-05-2017,16:45
120000668,835338,17-05-2017,17:00
120000669,643193,18-05-2017,09:00
120000670,680019,18-05-2017,09:15
120000671,444038,18-05-2017,09:30
120000672,555471,18-05-2017,09:45
120000673,438344,18-05-2017,10:00
120000674,385475,18-05-2017,10:15
120000675,838876,18-05-2017,10:30
120000676,923139,19-05-2017,10:45
120000677,793809,19-05-2017,11:00
120000678,612648,19-05-2017,11:15
120000679,912001,20-05-2017,11:30
120000680,145419,20-05-2017,11:45
120000681,461672,20-05-2017,12:00
120000682,544536,20-05-2017,12:15
120000683,217553,21-05-2017,12:30
120000684,430820,21-05-2017,12:45
120000685,799535,21-05-2017,13:00
120000686,881515,21-05-2017,13:15
120000687,879225,21-05-2017,13:30
120000688,578122,21-05-2017,13:45
120000689,600967,21-05-2017,14:00
120000690,879711,21-05-2017,14:15
120000691,807551,21-05-2017,14:30
120000692,316780,22-05-2017,14:45
120000693,609845,23-05-2017,15:00
120000694,559764,23-05-2017,15:15
120000695,946931,23-05-2017,15:30
120000696,888353,24-05-2017,15:45
120000697,696390,24-05-2017,16:00
120000698,421594,24-05-2017,16:15
120000699,157817,24-05-2017,16:30
120000700,382916,24-05-2017,16:45
120000701,326617,25-05-2017,17:00
120000702,995962,25-05-2017,09:00
120000703,709637,25-05-2017,09:15
120000704,914622,25-05-2017,09:30
120000705,245943,26-05-2017,09:45
120000706,426288,26-05-2017,10:00
120000707,624934,26-05-2017,10:15
120000708,360379,26-05-2017,10:30
120000709,650850,26-05-2017,10:45
120000710,571630,27-05-2017,11:00
120000711,639193,27-05-2017,11:15
120000712,955585,27-05-2017,11:30
120000713,484965,27-05-2017,11:45
120000714,693509,27-05-2017,12:00
120000715,600630,27-05-2017,12:15
120000716,685144,28-05-2017,12:30
120000717,799303,28-05-2017,12:45
120000718,320918,29-05-2017,13:00
120000719,299882,29-05-2017,13:15
120000720,399491,29-05-2017,13:30
120000721,848798,29-05-2017,13:45
120000722,749390,30-05-2017,14:00
120000723,260908,30-05-2017,14:15
120000724,679738,30-05-2017,14:30
120000725,247346,30-05-2017,14:45
120000726,747205,30-05-2017,15:00
120000727,695151,31-05-2017,15:15
120000728,505474,31-05-2017,15:30
120000729,803643,31-05-2017,15:45
120000730,650791,31-05-2017,16:00
120000731,984432,31-05-2017,16:15
120000732,107252,31-05-2017,16:30
120000733,388246,31-05-2017,16:45
120000734,671513,31-05-2017,17:00
120000735,896407,31-05-2017,09:00
120000736,905003,31-05-2017,09:00
120000737,975976,01-06-2017,09:15
120000738,239548,01-06-2017,09:30
120000739,354995,01-06-2017,09:45
120000740,545030,02-06-2017,10:00
120000741,859556,02-06-2017,10:15
120000742,732513,02-06-2017,10:30
120000743,619982,02-06-2017,10:45
120000744,996366,03-06-2017,11:00
120000745,404407,03-06-2017,11:15
120000746,283213,03-06-2017,11:30
120000747,979334,03-06-2017,11:45
120000748,393848,03-06-2017,12:00
120000749,665400,03-06-2017,12:15
120000750,705825,03-06-2017,12:30
120000751,883040,03-06-2017,12:45
120000752,602615,04-06-2017,13:00
120000753,970258,04-06-2017,13:15
120000754,598450,04-06-2017,13:30
120000755,226976,04-06-2017,13:45
120000756,246458,04-06-2017,14:00
120000757,485201,04-06-2017,14:15
120000758,856062,04-06-2017,14:30
120000759,169604,04-06-2017,14:45
120000760,529321,05-06-2017,15:00
120000761,821293,05-06-2017,15:15
120000762,540270,05-06-2017,15:30
120000763,895702,05-06-2017,15:45
120000764,607592,05-06-2017,16:00
120000765,935123,05-06-2017,16:15
120000766,478063,06-06-2017,16:30
120000767,989798,06-06-2017,16:45
120000768,835338,06-06-2017,17:00
120000769,643193,06-06-2017,09:00
120000770,680019,07-06-2017,09:00
120000771,444038,07-06-2017,09:15
120000772,555471,07-06-2017,09:30
120000773,438344,07-06-2017,09:45
120000774,385475,07-06-2017,10:00
120000775,838876,07-06-2017,10:15
