C_ID,I_ID,Sold_Date,Quantity,Sold_Time
120000177,38502,02-02-2017,10,10:45
120000178,37427,02-02-2017,11,11:00
120000179,47288,03-02-2017,12,11:15
120000180,60224,03-02-2017,15,11:30
120000181,23070,03-02-2017,4,11:45
120000182,64284,03-02-2017,9,12:00
120000183,24755,04-02-2017,14,12:15
120000184,22793,04-02-2017,10,12:30
120000185,74115,04-02-2017,5,12:45
120000186,59330,05-02-2017,14,13:00
120000187,61860,05-02-2017,14,13:15
120000188,66016,05-02-2017,7,13:30
120000189,71419,05-02-2017,7,13:45
120000190,20047,06-02-2017,12,14:00
120000191,32167,06-02-2017,14,14:15
120000192,56356,07-02-2017,5,14:30
120000193,21922,07-02-2017,14,14:45
120000194,16437,07-02-2017,1,15:00
120000195,44032,07-02-2017,2,15:15
120000196,37821,07-02-2017,10,15:30
120000197,39398,08-02-2017,4,15:45
120000198,56997,08-02-2017,13,16:00
120000199,22219,08-02-2017,1,16:15
120000200,46059,08-02-2017,2,16:30
120000201,78710,08-02-2017,12,16:45
120000202,28401,08-02-2017,15,17:00
120000203,42540,09-02-2017,13,09:00
120000204,16389,09-02-2017,7,09:15
120000205,43036,09-02-2017,9,09:30
120000206,28708,09-02-2017,15,09:45
120000207,35354,10-02-2017,3,10:00
120000208,77532,10-02-2017,4,10:15
120000209,50529,10-02-2017,10,10:30
120000210,21853,10-02-2017,11,10:45
120000211,31637,10-02-2017,10,11:00
120000212,51996,11-02-2017,6,11:15
120000213,14610,12-02-2017,14,11:30
120000214,24667,12-02-2017,4,11:45
120000215,44901,12-02-2017,7,12:00
120000216,44913,12-02-2017,12,12:15
120000217,38502,12-02-2017,8,12:30
120000218,37427,13-02-2017,4,12:45
120000219,47288,13-02-2017,2,13:00
120000220,60224,14-02-2017,4,13:15
120000221,23070,14-02-2017,2,13:30
120000222,64284,15-02-2017,13,13:45
120000223,24755,15-02-2017,8,14:00
120000224,22793,15-02-2017,8,14:15
120000225,74115,15-02-2017,9,14:30
120000226,59330,15-02-2017,15,14:45
120000227,61860,16-02-2017,1,15:00
120000228,66016,16-02-2017,11,15:15
120000229,71419,16-02-2017,5,15:30
120000230,20047,16-02-2017,9,15:45
120000231,32167,17-02-2017,8,16:00
120000232,56356,17-02-2017,15,16:15
120000233,21922,17-02-2017,15,16:30
120000234,16437,18-02-2017,10,16:45
120000235,44032,18-02-2017,11,17:00
120000236,37821,18-02-2017,7,09:00
120000237,39398,18-02-2017,4,09:00
120000238,56997,18-02-2017,6,09:15
120000239,22219,19-02-2017,7,09:30
120000240,46059,19-02-2017,14,09:45
120000241,78710,19-02-2017,13,10:00
120000242,28401,19-02-2017,5,10:15
120000243,42540,19-02-2017,13,10:30
120000244,16389,20-02-2017,6,10:45
120000245,43036,20-02-2017,2,11:00
120000246,28708,20-02-2017,1,11:15
120000247,35354,21-02-2017,1,11:30
120000248,77532,21-02-2017,7,11:45
120000249,50529,21-02-2017,8,12:00
120000250,21853,21-02-2017,13,12:15
120000251,31637,21-02-2017,15,12:30
120000252,51996,21-02-2017,7,12:45
120000253,14610,21-02-2017,7,13:00
120000254,24667,21-02-2017,7,13:15
120000255,44901,21-02-2017,14,13:30
120000256,44913,22-02-2017,4,13:45
120000257,38502,22-02-2017,14,14:00
120000258,37427,22-02-2017,8,14:15
120000259,47288,22-02-2017,12,14:30
120000260,60224,22-02-2017,6,14:45
120000261,23070,22-02-2017,1,15:00
120000262,64284,22-02-2017,5,15:15
120000263,24755,22-02-2017,10,15:30
120000264,22793,23-02-2017,10,15:45
120000265,74115,23-02-2017,4,16:00
120000266,59330,23-02-2017,11,16:15
120000267,61860,23-02-2017,11,16:30
120000268,66016,23-02-2017,11,16:45
120000269,71419,23-02-2017,11,17:00
120000270,20047,23-02-2017,7,09:00
120000271,32167,23-02-2017,5,09:00
120000272,56356,24-02-2017,1,09:15
120000273,21922,24-02-2017,11,09:30
120000274,16437,24-02-2017,6,09:45
120000275,44032,24-02-2017,2,10:00
120000276,37821,24-02-2017,12,10:15
120000277,39398,25-02-2017,11,10:30
120000278,56997,25-02-2017,3,10:45
120000279,22219,25-02-2017,2,11:00
120000280,46059,26-02-2017,11,11:15
120000281,78710,26-02-2017,10,11:30
120000282,28401,26-02-2017,4,11:45
120000283,42540,27-02-2017,2,12:00
120000284,16389,27-02-2017,11,12:15
120000285,43036,27-02-2017,12,12:30
120000286,28708,28-02-2017,13,12:45
120000287,35354,28-02-2017,2,13:00
120000288,77532,28-02-2017,5,13:15
120000289,50529,01-03-2017,5,13:30
120000290,21853,01-03-2017,6,13:45
120000291,31637,01-03-2017,14,14:00
120000292,51996,01-03-2017,2,14:15
120000293,14610,01-03-2017,9,14:30
120000294,24667,02-03-2017,1,14:45
120000295,44901,02-03-2017,13,15:00
120000296,44913,02-03-2017,4,15:15
120000297,38502,02-03-2017,3,15:30
120000298,37427,02-03-2017,6,15:45
120000299,47288,03-03-2017,6,16:00
120000300,60224,03-03-2017,9,16:15
120000301,23070,03-03-2017,7,16:30
120000302,64284,03-03-2017,12,16:45
120000303,24755,03-03-2017,4,17:00
120000304,22793,03-03-2017,13,09:00
120000305,74115,03-03-2017,2,09:00
120000306,59330,04-03-2017,8,09:15
120000307,61860,04-03-2017,1,09:30
120000308,66016,04-03-2017,13,09:45
120000309,71419,04-03-2017,9,10:00
120000310,20047,04-03-2017,8,10:15
120000311,32167,04-03-2017,4,10:30
120000312,56356,05-03-2017,12,10:45
120000313,21922,05-03-2017,14,11:00
120000314,16437,05-03-2017,4,11:15
120000315,44032,05-03-2017,2,11:30
120000316,37821,05-03-2017,6,11:45
120000317,39398,05-03-2017,7,12:00
120000318,56997,06-03-2017,7,12:15
120000319,22219,06-03-2017,5,12:30
120000320,46059,06-03-2017,4,12:45
120000321,78710,06-03-2017,1,13:00
120000322,28401,06-03-2017,4,13:15
120000323,42540,07-03-2017,9,13:30
120000324,16389,07-03-2017,4,13:45
120000325,43036,07-03-2017,5,14:00
120000326,28708,08-03-2017,14,14:15
120000327,35354,08-03-2017,3,14:30
120000328,77532,08-03-2017,3,14:45
120000329,50529,09-03-2017,3,15:00
120000330,21853,09-03-2017,9,15:15
120000331,31637,09-03-2017,7,15:30
120000332,51996,10-03-2017,6,15:45
120000333,14610,10-03-2017,8,16:00
120000334,24667,10-03-2017,3,16:15
120000335,44901,10-03-2017,3,16:30
120000336,44913,11-03-2017,9,16:45
120000337,38502,11-03-2017,12,17:00
120000338,37427,11-03-2017,4,09:00
120000339,47288,11-03-2017,4,09:00
120000340,60224,11-03-2017,10,09:15
120000341,23070,11-03-2017,13,09:30
120000342,64284,11-03-2017,4,09:45
120000343,24755,11-03-2017,15,10:00
120000344,22793,12-03-2017,10,10:15
120000345,74115,12-03-2017,12,10:30
120000346,59330,12-03-2017,4,10:45
120000347,61860,13-03-2017,13,11:00
120000348,66016,13-03-2017,2,11:15
120000349,71419,13-03-2017,11,11:30
120000350,20047,13-03-2017,11,11:45
120000351,32167,13-03-2017,4,12:00
120000352,56356,14-03-2017,4,12:15
120000353,21922,14-03-2017,1,12:30
120000354,16437,14-03-2017,7,12:45
120000355,44032,15-03-2017,2,13:00
120000356,37821,15-03-2017,11,13:15
120000357,39398,15-03-2017,2,13:30
120000358,56997,15-03-2017,1,13:45
120000359,22219,15-03-2017,3,14:00
120000360,46059,15-03-2017,6,14:15
120000361,78710,15-03-2017,15,14:30
120000362,28401,15-03-2017,10,14:45
120000363,42540,16-03-2017,10,15:00
120000364,16389,16-03-2017,1,15:15
120000365,43036,16-03-2017,15,15:30
120000366,28708,16-03-2017,8,15:45
120000367,35354,17-03-2017,9,16:00
120000368,77532,17-03-2017,1,16:15
120000369,50529,17-03-2017,8,16:30
120000370,21853,17-03-2017,15,16:45
120000371,31637,18-03-2017,7,17:00
120000372,51996,18-03-2017,14,09:00
120000373,14610,18-03-2017,4,09:00
120000374,24667,18-03-2017,12,09:15
120000375,44901,18-03-2017,14,09:30
120000376,44913,19-03-2017,7,09:45
120000377,38502,19-03-2017,1,10:00
120000378,37427,19-03-2017,2,10:15
120000379,47288,19-03-2017,7,10:30
120000380,60224,19-03-2017,9,10:45
120000381,23070,19-03-2017,7,11:00
120000382,64284,19-03-2017,7,11:15
120000383,24755,19-03-2017,15,11:30
120000384,22793,20-03-2017,13,11:45
120000385,74115,20-03-2017,13,12:00
120000386,59330,20-03-2017,15,12:15
120000387,61860,21-03-2017,8,12:30
120000388,66016,21-03-2017,8,12:45
120000389,71419,21-03-2017,14,13:00
120000390,20047,21-03-2017,15,13:15
120000391,32167,21-03-2017,13,13:30
120000392,56356,22-03-2017,15,13:45
120000393,21922,22-03-2017,13,14:00
120000394,16437,22-03-2017,2,14:15
120000395,44032,23-03-2017,9,14:30
120000396,37821,23-03-2017,1,14:45
120000397,39398,23-03-2017,9,15:00
120000398,56997,23-03-2017,2,15:15
120000399,22219,23-03-2017,14,15:30
120000400,46059,23-03-2017,7,15:45
120000401,78710,23-03-2017,5,16:00
120000402,28401,23-03-2017,2,16:15
120000403,42540,23-03-2017,13,16:30
120000404,16389,24-03-2017,9,16:45
120000405,43036,24-03-2017,5,17:00
120000406,28708,24-03-2017,14,09:00
120000407,35354,24-03-2017,4,09:00
120000408,77532,24-03-2017,10,09:15
120000409,50529,24-03-2017,9,09:30
120000410,21853,24-03-2017,10,09:45
120000411,31637,24-03-2017,14,10:00
120000412,51996,24-03-2017,2,10:15
120000413,14610,24-03-2017,13,10:30
120000414,24667,24-03-2017,14,10:45
120000415,44901,24-03-2017,3,11:00
120000416,44913,24-03-2017,9,11:15
120000417,38502,24-03-2017,15,11:30
120000418,37427,24-03-2017,8,11:45
120000419,47288,24-03-2017,10,12:00
120000420,60224,25-03-2017,15,12:15
120000421,23070,25-03-2017,2,12:30
120000422,64284,25-03-2017,4,12:45
120000423,24755,25-03-2017,3,13:00
120000424,22793,25-03-2017,7,13:15
120000425,74115,26-03-2017,8,13:30
120000426,59330,27-03-2017,3,13:45
120000427,61860,27-03-2017,4,14:00
120000428,66016,27-03-2017,5,14:15
120000429,71419,27-03-2017,7,14:30
120000430,20047,27-03-2017,12,14:45
120000431,32167,28-03-2017,11,15:00
120000432,56356,28-03-2017,6,15:15
120000433,21922,28-03-2017,4,15:30
120000434,16437,28-03-2017,5,15:45
120000435,44032,28-03-2017,11,16:00
120000436,37821,28-03-2017,3,16:15
120000437,39398,28-03-2017,4,16:30
120000438,56997,28-03-2017,7,16:45
120000439,22219,28-03-2017,14,17:00
120000440,46059,29-03-2017,7,09:00
120000441,78710,29-03-2017,15,09:00
120000442,28401,29-03-2017,5,09:15
120000443,42540,29-03-2017,13,09:30
120000444,16389,29-03-2017,8,09:45
120000445,43036,30-03-2017,14,10:00
120000446,28708,30-03-2017,3,10:15
120000447,35354,30-03-2017,14,10:30
120000448,77532,31-03-2017,4,10:45
120000449,50529,31-03-2017,1,11:00
120000450,21853,31-03-2017,3,11:15
120000451,31637,31-03-2017,2,11:30
120000452,51996,01-04-2017,4,11:45
120000453,14610,01-04-2017,12,12:00
120000454,24667,02-04-2017,6,12:15
120000455,44901,02-04-2017,6,12:30
120000456,44913,03-04-2017,9,12:45
120000457,38502,03-04-2017,9,13:00
120000458,37427,03-04-2017,3,13:15
120000459,47288,03-04-2017,8,13:30
120000460,60224,03-04-2017,7,13:45
120000461,23070,04-04-2017,12,14:00
120000462,64284,04-04-2017,6,14:15
120000463,24755,04-04-2017,11,14:30
120000464,22793,04-04-2017,2,14:45
120000465,74115,04-04-2017,14,15:00
120000466,59330,04-04-2017,13,15:15
120000467,61860,04-04-2017,13,15:30
120000468,66016,05-04-2017,7,15:45
120000469,71419,05-04-2017,5,16:00
120000470,20047,05-04-2017,7,16:15
120000471,32167,05-04-2017,5,16:30
120000472,56356,05-04-2017,4,16:45
120000473,21922,06-04-2017,14,17:00
120000474,16437,06-04-2017,3,09:00
120000475,44032,06-04-2017,4,09:00
120000476,37821,07-04-2017,1,09:15
120000477,39398,07-04-2017,11,09:30
120000478,56997,07-04-2017,1,09:45
120000479,22219,07-04-2017,6,10:00
120000480,46059,07-04-2017,6,10:15
120000481,78710,07-04-2017,10,10:30
120000482,28401,08-04-2017,13,10:45
120000483,42540,08-04-2017,12,11:00
120000484,16389,08-04-2017,3,11:15
120000485,43036,08-04-2017,14,11:30
120000486,28708,09-04-2017,1,11:45
120000487,35354,09-04-2017,15,12:00
120000488,77532,10-04-2017,4,12:15
120000489,50529,10-04-2017,10,12:30
120000490,21853,10-04-2017,12,12:45
120000491,31637,10-04-2017,9,13:00
120000492,51996,10-04-2017,8,13:15
120000493,14610,10-04-2017,8,13:30
120000494,24667,11-04-2017,10,13:45
120000495,44901,11-04-2017,14,14:00
120000496,44913,11-04-2017,8,14:15
120000497,38502,11-04-2017,12,14:30
120000498,37427,11-04-2017,5,14:45
120000499,47288,11-04-2017,10,15:00
120000500,60224,11-04-2017,5,15:15
120000501,23070,12-04-2017,5,16:45
120000502,64284,12-04-2017,9,09:45
120000503,24755,12-04-2017,15,11:45
120000504,22793,12-04-2017,9,16:00
120000505,74115,12-04-2017,2,12:45
120000506,59330,12-04-2017,7,09:00
120000507,61860,13-04-2017,1,14:45
120000508,66016,13-04-2017,1,13:15
120000509,71419,13-04-2017,9,15:30
120000510,20047,13-04-2017,10,14:30
120000511,32167,13-04-2017,8,16:30
120000512,56356,13-04-2017,15,09:15
120000513,21922,14-04-2017,8,12:30
120000514,16437,14-04-2017,5,15:00
120000515,44032,14-04-2017,13,13:30
120000516,37821,14-04-2017,1,12:00
120000517,39398,14-04-2017,13,15:45
120000518,56997,14-04-2017,2,17:00
120000519,22219,14-04-2017,6,11:00
120000520,46059,15-04-2017,1,10:00
120000521,78710,15-04-2017,3,14:00
120000522,28401,15-04-2017,11,11:15
120000523,42540,15-04-2017,6,10:30
120000524,16389,15-04-2017,13,14:15
120000525,43036,15-04-2017,9,12:15
120000526,28708,15-04-2017,2,13:45
120000527,35354,16-04-2017,8,11:30
120000528,77532,16-04-2017,1,09:30
120000529,50529,16-04-2017,3,10:15
120000530,21853,16-04-2017,1,14:00
120000531,31637,16-04-2017,4,17:00
120000532,51996,16-04-2017,14,11:00
120000533,14610,16-04-2017,10,13:45
120000534,24667,17-04-2017,13,14:30
120000535,44901,17-04-2017,5,09:00
120000536,44913,17-04-2017,7,09:15
120000537,38502,17-04-2017,15,14:45
120000538,37427,17-04-2017,9,11:15
120000539,47288,17-04-2017,13,15:15
120000540,60224,18-04-2017,11,16:30
120000541,23070,18-04-2017,1,11:30
120000542,64284,19-04-2017,6,10:30
120000543,24755,19-04-2017,2,11:45
120000544,22793,19-04-2017,6,15:00
120000545,74115,19-04-2017,14,16:00
120000546,59330,20-04-2017,10,16:45
120000547,61860,20-04-2017,1,10:00
120000548,66016,20-04-2017,9,12:45
120000549,71419,20-04-2017,6,10:15
120000550,20047,21-04-2017,9,13:15
120000551,32167,21-04-2017,3,12:30
120000552,56356,21-04-2017,14,14:15
120000553,21922,21-04-2017,11,15:30
120000554,16437,22-04-2017,13,15:45
120000555,44032,22-04-2017,7,09:30
120000556,37821,22-04-2017,1,13:30
120000557,39398,23-04-2017,7,12:15
120000558,56997,23-04-2017,5,09:45
120000559,22219,23-04-2017,2,12:00
120000560,46059,24-04-2017,10,10:15
120000561,78710,24-04-2017,6,14:00
120000562,28401,25-04-2017,8,11:30
120000563,42540,25-04-2017,12,13:15
120000564,16389,25-04-2017,9,09:15
120000565,43036,25-04-2017,4,15:45
120000566,28708,25-04-2017,5,10:00
120000567,35354,25-04-2017,14,16:30
120000568,77532,26-04-2017,12,16:45
120000569,50529,26-04-2017,5,13:30
120000570,21853,26-04-2017,11,09:00
120000571,31637,26-04-2017,6,09:15
120000572,51996,26-04-2017,3,09:30
120000573,14610,27-04-2017,2,09:45
120000574,24667,27-04-2017,10,10:00
120000575,44901,27-04-2017,4,10:15
120000576,44913,27-04-2017,15,10:30
120000577,38502,27-04-2017,7,10:45
120000578,37427,28-04-2017,10,11:00
120000579,47288,28-04-2017,9,11:15
120000580,60224,28-04-2017,4,11:30
120000581,23070,28-04-2017,9,11:45
120000582,64284,28-04-2017,7,12:00
120000583,24755,28-04-2017,11,12:15
120000584,22793,28-04-2017,2,12:30
120000585,74115,29-04-2017,4,12:45
120000586,59330,29-04-2017,10,13:00
120000587,61860,29-04-2017,1,13:15
120000588,66016,29-04-2017,10,13:30
120000589,71419,29-04-2017,15,13:45
120000590,20047,30-04-2017,14,14:00
120000591,32167,30-04-2017,7,14:15
120000592,56356,01-05-2017,7,14:30
120000593,21922,01-05-2017,5,14:45
120000594,16437,01-05-2017,8,15:00
120000595,44032,01-05-2017,4,15:15
120000596,37821,02-05-2017,2,15:30
120000597,39398,02-05-2017,7,15:45
120000598,56997,02-05-2017,14,16:00
120000599,22219,02-05-2017,9,16:15
120000600,46059,02-05-2017,6,16:30
120000601,78710,02-05-2017,9,16:45
120000602,28401,03-05-2017,7,17:00
120000603,42540,03-05-2017,7,09:00
120000604,16389,03-05-2017,10,09:15
120000605,43036,03-05-2017,15,09:30
120000606,28708,03-05-2017,2,09:45
120000607,35354,03-05-2017,6,10:00
120000608,77532,03-05-2017,6,10:15
120000609,50529,04-05-2017,13,10:30
120000610,21853,04-05-2017,13,10:45
120000611,31637,04-05-2017,6,11:00
120000612,51996,04-05-2017,11,11:15
120000613,14610,04-05-2017,10,11:30
120000614,24667,05-05-2017,10,11:45
120000615,44901,05-05-2017,9,12:00
120000616,44913,05-05-2017,2,12:15
120000617,38502,06-05-2017,8,12:30
120000618,37427,06-05-2017,2,12:45
120000619,47288,06-05-2017,10,13:00
120000620,60224,06-05-2017,2,13:15
120000621,23070,07-05-2017,7,13:30
120000622,64284,07-05-2017,10,13:45
120000623,24755,07-05-2017,7,14:00
120000624,22793,07-05-2017,4,14:15
120000625,74115,07-05-2017,15,14:30
120000626,59330,07-05-2017,10,14:45
120000627,61860,07-05-2017,12,15:00
120000628,66016,08-05-2017,3,15:15
120000629,71419,08-05-2017,13,15:30
120000630,20047,08-05-2017,3,15:45
120000631,32167,08-05-2017,6,16:00
120000632,56356,08-05-2017,11,16:15
120000633,21922,09-05-2017,5,16:30
120000634,16437,10-05-2017,7,16:45
120000635,44032,10-05-2017,8,17:00
120000636,37821,10-05-2017,3,09:00
120000637,39398,10-05-2017,11,09:15
120000638,56997,11-05-2017,1,09:30
120000639,22219,11-05-2017,13,09:45
120000640,46059,12-05-2017,8,10:00
120000641,78710,12-05-2017,7,10:15
120000642,28401,12-05-2017,3,10:30
120000643,42540,12-05-2017,5,10:45
120000644,16389,12-05-2017,3,11:00
120000645,43036,12-05-2017,15,11:15
120000646,28708,13-05-2017,14,11:30
120000647,35354,13-05-2017,11,11:45
120000648,77532,13-05-2017,2,12:00
120000649,50529,13-05-2017,11,12:15
120000650,21853,13-05-2017,6,12:30
120000651,31637,13-05-2017,3,12:45
120000652,51996,13-05-2017,7,13:00
120000653,14610,13-05-2017,13,13:15
120000654,24667,13-05-2017,4,13:30
120000655,44901,13-05-2017,15,13:45
120000656,44913,14-05-2017,5,14:00
120000657,38502,14-05-2017,2,14:15
120000658,37427,15-05-2017,4,14:30
120000659,47288,16-05-2017,3,14:45
120000660,60224,16-05-2017,1,15:00
120000661,23070,16-05-2017,7,15:15
120000662,64284,16-05-2017,11,15:30
120000663,24755,17-05-2017,7,15:45
120000664,22793,17-05-2017,3,16:00
120000665,74115,17-05-2017,13,16:15
120000666,59330,17-05-2017,1,16:30
120000667,61860,17-05-2017,15,16:45
120000668,66016,17-05-2017,6,17:00
120000669,71419,18-05-2017,4,09:00
120000670,20047,18-05-2017,1,09:15
120000671,32167,18-05-2017,13,09:30
120000672,56356,18-05-2017,1,09:45
120000673,21922,18-05-2017,8,10:00
120000674,16437,18-05-2017,14,10:15
120000675,44032,18-05-2017,7,10:30
120000676,37821,19-05-2017,4,10:45
120000677,39398,19-05-2017,5,11:00
120000678,56997,19-05-2017,13,11:15
120000679,22219,20-05-2017,15,11:30
120000680,46059,20-05-2017,1,11:45
120000681,78710,20-05-2017,1,12:00
120000682,28401,20-05-2017,4,12:15
120000683,42540,21-05-2017,1,12:30
120000684,16389,21-05-2017,10,12:45
120000685,43036,21-05-2017,12,13:00
120000686,28708,21-05-2017,15,13:15
120000687,35354,21-05-2017,1,13:30
120000688,77532,21-05-2017,6,13:45
120000689,50529,21-05-2017,10,14:00
120000690,21853,21-05-2017,13,14:15
120000691,31637,21-05-2017,11,14:30
120000692,51996,22-05-2017,11,14:45
120000693,14610,23-05-2017,10,15:00
120000694,24667,23-05-2017,15,15:15
120000695,44901,23-05-2017,8,15:30
120000696,44913,24-05-2017,7,15:45
120000697,38502,24-05-2017,13,16:00
